time,RRP
1516917600,81.51
1516919400,86.31
1516921200,105.27
1516923000,94.52
1516924800,108.2
1516926600,107.71
1516928400,113.93
1516930200,82.23
1516932000,83.02
1516933800,90.57
1516935600,96.17
1516937400,90.88
1516939200,106.16
1516941000,109.51
1516942800,105.73
1516944600,107.33
1516946400,112.91
1516948200,107.08
1516950000,110.37
1516951800,117.56
1516953600,134.53
1516955400,131.29
1516957200,142.75
1516959000,157.35
1516960800,141.03
1516962600,137.69
1516964400,120.19
1516966200,114.04
1516968000,108.13
1516969800,113.78
1516971600,107.9
1516973400,138.83
1516975200,188.46
1516977000,109.96
1516978800,78.12
1516980600,63.03
1516982400,60.97
1516984200,61.43
1516986000,61.84
1516987800,65.08
1516989600,59.68
1516991400,65.32
1516993200,62.01
1516995000,64.59
1516996800,62.5
1516998600,68.19
1517000400,97.88
1517002200,71.64
1517004000,112.96
1517005800,174.68
1517007600,197.28
1517009400,127.19
1517011200,129.63
1517013000,135.1
1517014800,139.04
1517016600,143.29
1517018400,155.65
1517020200,141.68
1517022000,156.01
1517023800,170.95
1517025600,181.77
1517027400,154.39
1517029200,146.17
1517031000,151.77
1517032800,162.77
1517034600,175.4
1517036400,145.11
1517038200,145.56
1517040000,135.31
1517041800,119.58
1517043600,132.32
1517045400,118.04
1517047200,112.71
1517049000,112.46
1517050800,94.37
1517052600,81.87
1517054400,74.91
1517056200,85.2
1517058000,75.98
1517059800,79.64
1517061600,85.45
1517063400,78.53
1517065200,69.58
1517067000,63.58
1517068800,72.76
1517070600,64.19
1517072400,63.01
1517074200,61.99
1517076000,61.85
1517077800,63.02
1517079600,58.51
1517081400,56.58
1517083200,52.92
1517085000,53.24
1517086800,58.24
1517088600,54.76
1517090400,59.02
1517092200,104.57
1517094000,175.72
1517095800,189.74
1517097600,182.6
1517099400,224.74
1517101200,232.11
1517103000,183.6
1517104800,335.34
1517106600,277.17
1517108400,177.33
1517110200,350.02
1517112000,411.74
1517113800,528.06
1517115600,3595.78
1517117400,1776.04
1517119200,290.74
1517121000,1018.58
1517122800,123.68
1517124600,117.42
1517126400,92.85
1517128200,123.39
1517130000,113.22
1517131800,105.0
1517133600,104.83
1517135400,105.0
1517137200,105.0
1517139000,101.13
1517140800,93.63
1517142600,105.17
1517144400,103.14
1517146200,130.61
1517148000,159.18
1517149800,154.9
1517151600,162.56
1517153400,141.47
1517155200,105.0
1517157000,113.58
1517158800,98.1
1517160600,109.63
1517162400,115.66
1517164200,123.87
1517166000,126.49
1517167800,129.64
1517169600,119.92
1517171400,123.72
1517173200,124.57
1517175000,118.41
1517176800,148.47
1517178600,135.76
1517180400,121.37
1517182200,105.69
1517184000,105.0
1517185800,104.81
1517187600,125.13
1517189400,121.22
1517191200,112.51
1517193000,105.0
1517194800,106.09
1517196600,104.01
1517198400,102.34
1517200200,100.29
1517202000,101.38
1517203800,99.79
1517205600,93.86
1517207400,89.0
1517209200,90.43
1517211000,86.84
1517212800,85.88
1517214600,88.96
1517216400,92.25
1517218200,99.18
1517220000,93.7
1517221800,89.57
1517223600,66.51
1517225400,65.15
1517227200,77.25
1517229000,79.42
1517230800,71.59
1517232600,69.25
1517234400,78.97
1517236200,60.77
1517238000,60.76
1517239800,60.39
1517241600,52.47
1517243400,44.65
1517245200,53.81
1517247000,55.95
1517248800,41.98
1517250600,50.65
1517252400,52.84
1517254200,53.5
1517256000,70.61
1517257800,76.45
1517259600,88.35
1517261400,79.68
1517263200,78.7
1517265000,78.72
1517266800,82.09
1517268600,77.32
1517270400,72.86
1517272200,77.61
1517274000,74.2
1517275800,69.68
1517277600,71.36
1517279400,75.47
1517281200,77.45
1517283000,75.11
1517284800,73.54
1517286600,-99.68
1517288400,-99.3
1517290200,-291.71
1517292000,-98.2
1517293800,82.31
1517295600,80.19
1517297400,51.81
1517299200,66.6
1517301000,64.45
1517302800,81.08
1517304600,92.05
1517306400,89.06
1517308200,84.09
1517310000,77.16
1517311800,71.61
1517313600,57.11
1517315400,64.33
1517317200,52.79
1517319000,47.99
1517320800,49.77
1517322600,50.18
1517324400,45.69
1517326200,38.5
1517328000,34.51
1517329800,-140.04
1517331600,34.96
1517333400,-138.42
1517335200,29.07
1517337000,-144.51
1517338800,37.95
1517340600,-12.0
1517342400,33.47
1517344200,71.41
1517346000,77.16
1517347800,66.76
1517349600,56.8
1517351400,65.87
1517353200,-15.4
1517355000,-12.69
1517356800,-109.54
1517358600,38.67
1517360400,-174.7
1517362200,68.44
1517364000,70.68
1517365800,64.6
1517367600,61.14
1517369400,63.63
1517371200,59.85
1517373000,68.38
1517374800,64.21
1517376600,69.81
1517378400,79.7
1517380200,66.71
1517382000,78.27
1517383800,60.37
1517385600,55.9
1517387400,62.81
1517389200,80.59
1517391000,68.69
1517392800,81.21
1517394600,84.37
1517396400,89.12
1517398200,74.2
1517400000,63.18
1517401800,65.23
1517403600,60.23
1517405400,63.51
1517407200,80.43
1517409000,72.41
1517410800,62.24
1517412600,59.76
1517414400,52.65
1517416200,54.1
1517418000,54.39
1517419800,57.95
1517421600,54.86
1517423400,54.54
1517425200,56.38
1517427000,65.18
1517428800,78.33
1517430600,83.01
1517432400,92.66
1517434200,81.39
1517436000,70.64
1517437800,67.9
1517439600,64.09
1517441400,62.03
1517443200,65.78
1517445000,62.24
1517446800,60.27
1517448600,62.5
1517450400,61.74
1517452200,56.22
1517454000,60.29
1517455800,67.3
1517457600,67.62
1517459400,62.59
1517461200,63.16
1517463000,64.86
1517464800,58.56
1517466600,61.59
1517468400,64.24
1517470200,79.6
1517472000,89.1
1517473800,90.55
1517475600,93.34
1517477400,103.9
1517479200,131.33
1517481000,158.89
1517482800,91.59
1517484600,66.4
1517486400,73.37
1517488200,89.04
1517490000,94.53
1517491800,92.24
1517493600,118.67
1517495400,93.51
1517497200,83.59
1517499000,71.85
1517500800,45.29
1517502600,59.47
1517504400,67.91
1517506200,62.54
1517508000,56.18
