time,kW
1530599700,0.0
1530600000,0.0
1530600300,0.0
1530600600,0.0
1530600900,0.0
1530601200,0.0
1530601500,0.0
1530601800,0.0
1530602100,0.0
1530602400,0.0
1530602700,0.0
1530603000,0.0
1530603300,0.0
1530603600,0.0
1530603900,0.0
1530604200,0.0
1530604500,0.0
1530604800,0.0
1530605100,0.0
1530605400,0.0
1530605700,0.0
1530606000,0.0
1530606300,0.0
1530606600,0.0
1530606900,0.0
1530607200,0.0
1530607500,0.0
1530607800,0.0
1530608100,0.0
1530608400,0.0
1530608700,0.0
1530609000,0.0
1530609300,0.0
1530609600,0.0
1530609900,0.0
1530610200,0.0
1530610500,0.0
1530610800,0.0
1530611100,0.0
1530611400,0.0
1530611700,0.0
1530612000,0.0
1530612300,0.0
1530612600,0.0
1530612900,0.0
1530613200,0.0
1530613500,0.0
1530613800,0.0
1530614100,0.0
1530614400,0.0
1530614700,0.0
1530615000,0.0
1530615300,0.0
1530615600,0.0
1530615900,0.0
1530616200,0.0
1530616500,0.0
1530616800,0.0
1530617100,0.0
1530617400,0.0
1530617700,0.0
1530618000,0.0
1530618300,0.0
1530618600,0.0
1530618900,0.0
1530619200,0.0
1530619500,0.0
1530619800,0.0
1530620100,0.0
1530620400,0.0
1530620700,0.0
1530621000,0.0
1530621300,0.0
1530621600,0.0
1530621900,0.0
1530622200,0.0
1530622500,0.0
1530622800,0.0
1530623100,0.0
1530623400,0.0
1530623700,0.0
1530624000,0.0
1530624300,0.0
1530624600,0.0
1530624900,0.0
1530625200,0.0
1530625500,0.0
1530625800,0.0
1530626100,0.0
1530626400,0.0
1530626700,0.0
1530627000,0.0
1530627300,0.0
1530627600,0.0
1530627900,0.0
1530628200,0.0
1530628500,0.0
1530628800,0.0
1530629100,0.0
1530629400,0.0
1530629700,0.0
1530630000,0.0
1530630300,0.0
1530630600,0.0
1530630900,0.0
1530631200,0.0
1530631500,0.0
1530631800,0.0
1530632100,0.0
1530632400,0.0
1530632700,0.0
1530633000,0.0
1530633300,0.0
1530633600,0.0
1530633900,0.0
1530634200,0.0
1530634500,0.0
1530634800,0.0
1530635100,0.0
1530635400,0.0
1530635700,0.0
1530636000,0.0
1530636300,0.0
1530636600,0.0
1530636900,0.0
1530637200,0.0
1530637500,0.0
1530637800,0.0
1530638100,0.0
1530638400,0.0
1530638700,0.0
1530639000,0.0
1530639300,0.0
1530639600,0.0
1530639900,0.0
1530640200,0.0
1530640500,0.0
1530640800,0.0
1530641100,0.0
1530641400,0.0
1530641700,0.0
1530642000,0.0
1530642300,0.0
1530642600,0.0
1530642900,0.0
1530643200,0.0
1530643500,0.0
1530643800,0.0
1530644100,0.0
1530644400,0.0
1530644700,0.0
1530645000,0.0
1530645300,0.0
1530645600,0.0
